Wed Mar 22 22:04:18 2023    output.dat

         10665188 function calls (10664917 primitive calls) in 3.923 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3040740    0.148    0.000    0.148    0.000 {method 'append' of 'list' objects}
1869557/1869526    0.113    0.000    0.113    0.000 {built-in method builtins.len}
  1465667    0.210    0.000    0.210    0.000 {built-in method builtins.min}
   972000    0.642    0.000    0.755    0.000 /home/julian/Documents/Lava/benchmarking/space.py:92(liesInBounds)
   859781    0.118    0.000    0.118    0.000 {built-in method math.dist}
   859781    0.228    0.000    0.562    0.000 /home/julian/Documents/Lava/benchmarking/space.py:32(getNormalizedDistance)
   859781    0.216    0.000    0.334    0.000 /home/julian/Documents/Lava/benchmarking/space.py:28(getDistance)
   605080    0.071    0.000    0.071    0.000 {built-in method builtins.max}
    44438    0.005    0.000    0.005    0.000 {built-in method math.sqrt}
    36292    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
     9438    0.004    0.000    0.004    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:78(getDistance)
     2707    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     2146    0.000    0.000    0.000    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:90(addTuple)
     2030    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
     1900    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:529(size)
     1584    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     1000    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
     1000    0.001    0.000    0.001    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:18(updatePosition)
     1000    0.003    0.000    0.010    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:40(updateVelocity)
     1000    0.000    0.000    0.000    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:55(updateTemperature)
     1000    0.001    0.000    0.002    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:70(addGravity)
     1000    0.001    0.000    0.001    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:75(addRandomness)
     1000    0.000    0.000    0.001    0.000 /home/julian/Documents/Lava/benchmarking/particle.py:87(terminalVelocityModifier)
     1000    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:497(__init__)
      900    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
      900    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:788(load)
      800    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      800    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      800    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/_binary.py:101(o32be)
      800    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:533(_new)
      600    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
      600    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/PngImagePlugin.py:137(_crc32)
      600    0.012    0.000    0.012    0.000 {method 'resize' of 'ImagingCore' objects}
      600    0.001    0.000    0.015    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:1884(resize)
      600    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:2616(_check_size)
