Thu Mar 23 22:08:48 2023    output.dat

         87463 function calls (87192 primitive calls) in 0.050 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.009    0.009    0.012    0.012 /home/julian/Documents/Lava/benchmarking/space.py:196(gridToPixels)
        1    0.008    0.008    0.015    0.015 {external_methods.updateGridCircle}
        4    0.004    0.001    0.004    0.001 {built-in method numpy.array}
    40941    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     7995    0.003    0.000    0.007    0.000 /home/julian/Documents/Lava/benchmarking/space.py:33(getNormalizedDistance)
     7995    0.003    0.000    0.004    0.000 /home/julian/Documents/Lava/benchmarking/space.py:29(getDistance)
        1    0.002    0.002    0.002    0.002 /home/julian/Documents/Lava/benchmarking/space.py:137(clearTemps)
        1    0.002    0.002    0.002    0.002 /home/julian/Documents/Lava/benchmarking/space.py:10(__init__)
     7995    0.001    0.000    0.001    0.000 {built-in method math.dist}
        1    0.001    0.001    0.002    0.002 /home/julian/Documents/Lava/benchmarking/space.py:148(clearGrid)
       21    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     6258    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     6244    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       41    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     15/3    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
       78    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/PIL/TiffImagePlugin.py:1(<module>)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       21    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.050    0.050 /home/julian/Documents/Lava/benchmarking/benchmark.py:8(runLava)
